QAN,QualificationTitle,AwardingOrganisation,QualificationLevel,QualificationType,SSA,OfferedInEngland,FundedInEngland,GLH,TQT,Pre16,Age16To18,Age18Plus,Age19Plus,FundingStreamName,FundingApprovalStartDate,ProposedOutcome,RolloverStatus,ExclusionReason,OperationalEndDate,PLDNS,CurrentFundingApprovalEndDate,ProposedFundingApprovalEndDate,Comments
10020007,City & Guilds NPTC Level 2 Certificate of Competence in the Safe Operation of Dumper Trucks,City & Guilds Limited,Level 2,Occupational Qualification,Horticulture and forestry,True,True,12,14,False,True,True,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
10020007,City & Guilds NPTC Level 2 Certificate of Competence in the Safe Operation of Dumper Trucks,City & Guilds Limited,Level 2,Occupational Qualification,Horticulture and forestry,True,True,12,14,False,True,True,True,Age1619,2002/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
10020135,City & Guilds NPTC Level 2 Certificate of Competence in the Safe Use of Plant Machinery,City & Guilds Limited,Level 2,Occupational Qualification,Horticulture and forestry,True,True,12,14,False,True,False,True,Age1619,2002/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
10020135,City & Guilds NPTC Level 2 Certificate of Competence in the Safe Use of Plant Machinery,City & Guilds Limited,Level 2,Occupational Qualification,Horticulture and forestry,True,True,12,14,False,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
10025480,Cambridge OCR Level 3 Free Standing Mathematics Qualification: Additional Maths,Cambridge OCR,Level 3,Other General Qualification,Mathematics and statistics,True,True,60,60,True,True,False,True,Age1416,2002/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
10049150,Ascentis Level 2 Certificate in Psychology ,Ascentis,Level 2,Vocationally-Related Qualification,Science,True,True,102,102,False,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
10049150,Ascentis Level 2 Certificate in Psychology ,Ascentis,Level 2,Vocationally-Related Qualification,Science,True,True,102,102,False,True,False,True,Age1619,2005/02/28,Extended,Extended,,,,2027/07/31,2028/07/31,
10061812,BCS Level 4 Certificate in IT,"BCS, The Chartered Institute for IT",Level 4,Vocationally-Related Qualification,Digital technology (practitioners),True,True,709,734,False,True,True,True,AdvancedLearnerLoans,2021/08/01,Excluded,Excluded,Funding Approval End Date is before the Threshold; Operating End Date is before the Threshold,2026/02/28,2026/12/31,2026/12/31,2026/12/31,
10061903,BCS Level 5 Diploma in IT,"BCS, The Chartered Institute for IT",Level 5,Vocationally-Related Qualification,Digital technology (practitioners),True,True,1042,1086,False,True,True,True,AdvancedLearnerLoans,2021/08/01,Excluded,Excluded,Funding Approval End Date is before the Threshold; Operating End Date is before the Threshold,2026/02/28,2026/12/31,2026/12/31,2026/12/31,
10061915,BCS Level 6 Professional Graduate Diploma in IT,"BCS, The Chartered Institute for IT",Level 6,Vocationally-Related Qualification,Digital technology (practitioners),True,True,1339,1414,False,True,True,True,AdvancedLearnerLoans,2021/08/01,Excluded,Excluded,Funding Approval End Date is before the Threshold; Operating End Date is before the Threshold,2026/02/28,2026/12/31,2026/12/31,2026/12/31,
50012125,VTCT Skills (ITEC) Level 4 Diploma in Laser and Intense Pulsed Light Treatments,VTCT Skills,Level 4,Occupational Qualification,Service enterprises,True,True,200,370,False,False,True,True,Age1619,2006/09/11,Extended,Extended,,,,2027/07/31,2028/07/31,
50014110,Ascentis Level 2 Certificate in Introduction to Principles of Criminology,Ascentis,Level 2,Vocationally-Related Qualification,Sociology and social policy,True,True,60,60,False,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50014110,Ascentis Level 2 Certificate in Introduction to Principles of Criminology,Ascentis,Level 2,Vocationally-Related Qualification,Sociology and social policy,True,True,60,60,False,True,False,True,Age1619,2006/09/26,Extended,Extended,,,,2027/07/31,2028/07/31,
